AverageTemperature,City,Year,Month
24.397,0,1884,05
27.363,0,1884,06
27.004,0,1884,07
26.539,0,1884,08
26.664,0,1884,09
26.164,0,1884,10
25.838,0,1884,11
25.245,0,1884,12
24.303,0,1885,01
23.785,0,1885,02
24.357,0,1885,03
23.853,0,1885,04
25.606,0,1885,05
27.231,0,1885,06
27.113,0,1885,07
26.814,0,1885,08
26.808,0,1885,09
26.4,0,1885,10
26.06,0,1885,11
25.404,0,1885,12
24.253,0,1886,01
23.399,0,1886,02
24.98,0,1886,03
24.71,0,1886,04
26.259,0,1886,05
27.115,0,1886,06
27.524,0,1886,07
27.24,0,1886,08
26.688,0,1886,09
26.39,0,1886,10
25.584,0,1886,11
24.364,0,1886,12
23.478,0,1887,01
23.844,0,1887,02
23.249,0,1887,03
23.695,0,1887,04
25.716,0,1887,05
26.584,0,1887,06
26.884,0,1887,07
26.845,0,1887,08
26.509,0,1887,09
25.656,0,1887,10
25.945,0,1887,11
25.186,0,1887,12
24.152,0,1888,01
23.587,0,1888,02
23.337,0,1888,03
23.872,0,1888,04
25.366,0,1888,05
26.435,0,1888,06
27.178,0,1888,07
27.15,0,1888,08
26.036,0,1888,09
26.766,0,1888,10
26.317,0,1888,11
25.111,0,1888,12
24.982,0,1889,01
24.973,0,1889,02
23.718,0,1889,03
24.608,0,1889,04
26.134,0,1889,05
28.08,0,1889,06
27.731,0,1889,07
26.961,0,1889,08
26.76,0,1889,09
25.93,0,1889,10
26.247,0,1889,11
24.949,0,1889,12
25.202,0,1890,01
23.68,0,1890,02
22.862,0,1890,03
24.783,0,1890,04
25.93,0,1890,05
26.491,0,1890,06
27.141,0,1890,07
26.607,0,1890,08
26.297,0,1890,09
26.161,0,1890,10
25.64,0,1890,11
24.657,0,1890,12
24.381,0,1891,01
24.397,0,1891,02
23.65,0,1891,03
23.689,0,1891,04
25.446,0,1891,05
26.653,0,1891,06
26.997,0,1891,07
26.916,0,1891,08
26.875,0,1891,09
25.473,0,1891,10
26.286,0,1891,11
25.724,0,1891,12
24.348,0,1892,01
24.739,0,1892,02
23.479,0,1892,03
24.878,0,1892,04
26.368,0,1892,05
27.499,0,1892,06
27.424,0,1892,07
27.099,0,1892,08
26.602,0,1892,09
26.252,0,1892,10
25.683,0,1892,11
25.426,0,1892,12
23.701,0,1893,01
24.51,0,1893,02
23.416,0,1893,03
25.245,0,1893,04
25.63,0,1893,05
26.456,0,1893,06
26.435,0,1893,07
26.984,0,1893,08
26.891,0,1893,09
26.08,0,1893,10
26.429,0,1893,11
24.641,0,1893,12
24.97,0,1894,01
24.326,0,1894,02
23.387,0,1894,03
24.423,0,1894,04
26.104,0,1894,05
27.336,0,1894,06
27.078,0,1894,07
27.137,0,1894,08
27.173,0,1894,09
26.384,0,1894,10
25.543,0,1894,11
25.106,0,1894,12
24.208,0,1895,01
23.805,0,1895,02
24.088,0,1895,03
24.717,0,1895,04
26.022,0,1895,05
27.211,0,1895,06
27.233,0,1895,07
27.419,0,1895,08
27.185,0,1895,09
26.31,0,1895,10
27.488,0,1895,11
25.513,0,1895,12
25.051,0,1896,01
23.616,0,1896,02
24.594,0,1896,03
24.977,0,1896,04
26.819,0,1896,05
27.78,0,1896,06
27.903,0,1896,07
27.623,0,1896,08
27.368,0,1896,09
27.594,0,1896,10
27.562,0,1896,11
24.988,0,1896,12
25.286,0,1897,01
25.243,0,1897,02
25.44,0,1897,03
25.148,0,1897,04
26.239,0,1897,05
27.361,0,1897,06
27.235,0,1897,07
27.717,0,1897,08
26.403,0,1897,09
27.289,0,1897,10
27.263,0,1897,11
26.057,0,1897,12
24.923,0,1898,01
23.461,0,1898,02
24.421,0,1898,03
23.973,0,1898,04
26.022,0,1898,05
26.67,0,1898,06
26.719,0,1898,07
26.745,0,1898,08
26.704,0,1898,09
25.993,0,1898,10
26.667,0,1898,11
25.27,0,1898,12
24.177,0,1899,01
23.551,0,1899,02
24.243,0,1899,03
24.057,0,1899,04
26.299,0,1899,05
26.009,0,1899,06
27.182,0,1899,07
27.221,0,1899,08
26.575,0,1899,09
26.816,0,1899,10
26.255,0,1899,11
25.393,0,1899,12
24.917,0,1900,01
24.924,0,1900,02
24.182,0,1900,03
24.415,0,1900,04
25.975,0,1900,05
28.106,0,1900,06
27.112,0,1900,07
27.189,0,1900,08
27.148,0,1900,09
27.268,0,1900,10
26.736,0,1900,11
24.997,0,1900,12
25.005,0,1901,01
24.252,0,1901,02
24.003,0,1901,03
24.05,0,1901,04
26.354,0,1901,05
27.916,0,1901,06
27.227,0,1901,07
27.173,0,1901,08
27.058,0,1901,09
26.288,0,1901,10
26.113,0,1901,11
24.676,0,1901,12
24.23,0,1902,01
24.24,0,1902,02
23.773,0,1902,03
25.105,0,1902,04
26.235,0,1902,05
27.843,0,1902,06
26.779,0,1902,07
27.449,0,1902,08
27.081,0,1902,09
26.471,0,1902,10
26.708,0,1902,11
25.302,0,1902,12
24.218,0,1903,01
24.813,0,1903,02
24.047,0,1903,03
25.069,0,1903,04
26.154,0,1903,05
26.542,0,1903,06
27.167,0,1903,07
26.565,0,1903,08
26.66,0,1903,09
25.84,0,1903,10
25.888,0,1903,11
25.186,0,1903,12
24.57,0,1904,01
23.947,0,1904,02
23.625,0,1904,03
23.863,0,1904,04
25.04,0,1904,05
26.441,0,1904,06
26.299,0,1904,07
26.266,0,1904,08
26.575,0,1904,09
26.26,0,1904,10
25.951,0,1904,11
25.182,0,1904,12
23.952,0,1905,01
24.249,0,1905,02
22.25,0,1905,03
24.04,0,1905,04
27.107,0,1905,05
27.062,0,1905,06
27.125,0,1905,07
27.277,0,1905,08
26.683,0,1905,09
27.66,0,1905,10
28.003,0,1905,11
24.526,0,1905,12
23.477,0,1906,01
22.952,0,1906,02
24.108,0,1906,03
24.296,0,1906,04
26.515,0,1906,05
27.273,0,1906,06
27.605,0,1906,07
26.922,0,1906,08
26.897,0,1906,09
26.885,0,1906,10
26.063,0,1906,11
24.83,0,1906,12
24.796,0,1907,01
23.752,0,1907,02
23.953,0,1907,03
24.242,0,1907,04
26.005,0,1907,05
27.096,0,1907,06
27.031,0,1907,07
26.909,0,1907,08
26.754,0,1907,09
27.047,0,1907,10
27.066,0,1907,11
24.958,0,1907,12
25.053,0,1908,01
24.904,0,1908,02
25.063,0,1908,03
24.796,0,1908,04
25.628,0,1908,05
27.311,0,1908,06
26.575,0,1908,07
27.1,0,1908,08
26.771,0,1908,09
26.081,0,1908,10
25.882,0,1908,11
25.996,0,1908,12
24.291,0,1909,01
24.271,0,1909,02
25.138,0,1909,03
24.853,0,1909,04
27.053,0,1909,05
27.387,0,1909,06
27.775,0,1909,07
27.19,0,1909,08
26.056,0,1909,09
26.651,0,1909,10
26.742,0,1909,11
25.616,0,1909,12
23.873,0,1910,01
24.327,0,1910,02
22.579,0,1910,03
24.001,0,1910,04
25.321,0,1910,05
26.489,0,1910,06
26.844,0,1910,07
27.312,0,1910,08
26.451,0,1910,09
26.495,0,1910,10
26.552,0,1910,11
24.966,0,1910,12
25.034,0,1911,01
24.865,0,1911,02
24.173,0,1911,03
24.651,0,1911,04
24.789,0,1911,05
27.359,0,1911,06
26.823,0,1911,07
27.404,0,1911,08
27.434,0,1911,09
27.292,0,1911,10
27.911,0,1911,11
25.832,0,1911,12
25.122,0,1912,01
23.424,0,1912,02
25.164,0,1912,03
25.628,0,1912,04
26.32,0,1912,05
26.319,0,1912,06
26.773,0,1912,07
26.975,0,1912,08
26.59,0,1912,09
26.84,0,1912,10
25.048,0,1912,11
25.989,0,1912,12
24.918,0,1913,01
24.467,0,1913,02
24.191,0,1913,03
23.188,0,1913,04
24.847,0,1913,05
26.04,0,1913,06
26.357,0,1913,07
26.94,0,1913,08
26.811,0,1913,09
26.661,0,1913,10
26.498,0,1913,11
25.987,0,1913,12
24.702,0,1914,01
24.673,0,1914,02
23.633,0,1914,03
23.788,0,1914,04
25.01,0,1914,05
26.448,0,1914,06
27.157,0,1914,07
27.451,0,1914,08
26.493,0,1914,09
27.054,0,1914,10
26.851,0,1914,11
26.542,0,1914,12
24.669,0,1915,01
24.508,0,1915,02
23.112,0,1915,03
24.295,0,1915,04
26.97,0,1915,05
28.086,0,1915,06
27.461,0,1915,07
27.214,0,1915,08
26.551,0,1915,09
26.25,0,1915,10
26.949,0,1915,11
25.733,0,1915,12
26.036,0,1916,01
24.566,0,1916,02
24.309,0,1916,03
24.036,0,1916,04
26.396,0,1916,05
27.76,0,1916,06
26.764,0,1916,07
26.321,0,1916,08
26.258,0,1916,09
26.545,0,1916,10
26.225,0,1916,11
26.219,0,1916,12
25.663,0,1917,01
24.762,0,1917,02
24.44,0,1917,03
24.155,0,1917,04
26.326,0,1917,05
26.944,0,1917,06
27.116,0,1917,07
27.066,0,1917,08
26.872,0,1917,09
26.515,0,1917,10
25.171,0,1917,11
25.662,0,1917,12
24.651,0,1918,01
25.149,0,1918,02
23.321,0,1918,03
24.278,0,1918,04
26.143,0,1918,05
26.517,0,1918,06
27.023,0,1918,07
26.657,0,1918,08
26.772,0,1918,09
27.473,0,1918,10
27.039,0,1918,11
26.208,0,1918,12
23.738,0,1919,01
24.996,0,1919,02
23.821,0,1919,03
24.288,0,1919,04
26.784,0,1919,05
27.37,0,1919,06
27.222,0,1919,07
27.933,0,1919,08
27.121,0,1919,09
27.804,0,1919,10
27.036,0,1919,11
26.415,0,1919,12
25.014,0,1920,01
25.508,0,1920,02
25.18,0,1920,03
25.506,0,1920,04
25.391,0,1920,05
26.408,0,1920,06
27.66,0,1920,07
27.233,0,1920,08
27.12,0,1920,09
26.804,0,1920,10
26.877,0,1920,11
25.868,0,1920,12
24.753,0,1921,01
24.046,0,1921,02
24.468,0,1921,03
25.092,0,1921,04
26.02,0,1921,05
27.699,0,1921,06
27.169,0,1921,07
27.292,0,1921,08
26.856,0,1921,09
26.658,0,1921,10
26.94,0,1921,11
26.399,0,1921,12
25.516,0,1922,01
25.335,0,1922,02
25.042,0,1922,03
25.345,0,1922,04
26.812,0,1922,05
26.814,0,1922,06
27.74,0,1922,07
27.313,0,1922,08
26.808,0,1922,09
26.402,0,1922,10
27.036,0,1922,11
26.143,0,1922,12
25.392,0,1923,01
24.678,0,1923,02
24.487,0,1923,03
24.89,0,1923,04
26.775,0,1923,05
27.076,0,1923,06
27.287,0,1923,07
27.614,0,1923,08
27.679,0,1923,09
26.288,0,1923,10
26.96,0,1923,11
26.362,0,1923,12
25.296,0,1924,01
24.537,0,1924,02
24.759,0,1924,03
25.205,0,1924,04
26.054,0,1924,05
26.592,0,1924,06
27.458,0,1924,07
27.462,0,1924,08
26.581,0,1924,09
26.554,0,1924,10
25.924,0,1924,11
26.037,0,1924,12
24.771,0,1925,01
24.338,0,1925,02
24.148,0,1925,03
24.965,0,1925,04
25.823,0,1925,05
26.666,0,1925,06
27.444,0,1925,07
27.79,0,1925,08
26.922,0,1925,09
27.481,0,1925,10
26.858,0,1925,11
24.661,0,1925,12
24.801,0,1926,01
24.315,0,1926,02
25.099,0,1926,03
24.284,0,1926,04
26.093,0,1926,05
27.482,0,1926,06
27.605,0,1926,07
27.582,0,1926,08
26.712,0,1926,09
27.296,0,1926,10
26.484,0,1926,11
26.033,0,1926,12
24.39,0,1927,01
24.358,0,1927,02
24.393,0,1927,03
24.507,0,1927,04
26.951,0,1927,05
26.653,0,1927,06
27.517,0,1927,07
27.394,0,1927,08
26.338,0,1927,09
26.686,0,1927,10
26.441,0,1927,11
26.085,0,1927,12
25.095,0,1928,01
25.194,0,1928,02
24.273,0,1928,03
25.011,0,1928,04
26.402,0,1928,05
27.705,0,1928,06
27.695,0,1928,07
27.87,0,1928,08
26.943,0,1928,09
27.285,0,1928,10
26.566,0,1928,11
26.082,0,1928,12
24.883,0,1929,01
24.713,0,1929,02
23.901,0,1929,03
24.929,0,1929,04
26.383,0,1929,05
27.201,0,1929,06
27.257,0,1929,07
27.078,0,1929,08
27.024,0,1929,09
26.647,0,1929,10
27.883,0,1929,11
26.745,0,1929,12
26.448,0,1930,01
25.006,0,1930,02
24.849,0,1930,03
23.878,0,1930,04
26.701,0,1930,05
27.11,0,1930,06
27.46,0,1930,07
27.73,0,1930,08
27.821,0,1930,09
27.16,0,1930,10
26.75,0,1930,11
26.629,0,1930,12
25.302,0,1931,01
24.813,0,1931,02
24.778,0,1931,03
24.524,0,1931,04
25.916,0,1931,05
27.122,0,1931,06
27.073,0,1931,07
27.507,0,1931,08
26.224,0,1931,09
27.112,0,1931,10
26.33,0,1931,11
26.397,0,1931,12
25.093,0,1932,01
25.037,0,1932,02
23.888,0,1932,03
24.284,0,1932,04
26.715,0,1932,05
27.904,0,1932,06
27.476,0,1932,07
27.638,0,1932,08
27.409,0,1932,09
26.899,0,1932,10
25.563,0,1932,11
26.135,0,1932,12
25.406,0,1933,01
25.767,0,1933,02
25.071,0,1933,03
25.785,0,1933,04
27.364,0,1933,05
28.207,0,1933,06
28.195,0,1933,07
27.2,0,1933,08
26.599,0,1933,09
26.374,0,1933,10
26.168,0,1933,11
25.445,0,1933,12
25.671,0,1934,01
25.286,0,1934,02
23.299,0,1934,03
23.889,0,1934,04
25.541,0,1934,05
27.485,0,1934,06
27.851,0,1934,07
27.594,0,1934,08
26.91,0,1934,09
26.618,0,1934,10
26.273,0,1934,11
26.64,0,1934,12
24.592,0,1935,01
23.013,0,1935,02
23.859,0,1935,03
24.257,0,1935,04
26.251,0,1935,05
26.31,0,1935,06
27.351,0,1935,07
26.978,0,1935,08
27.025,0,1935,09
26.885,0,1935,10
27.042,0,1935,11
26.067,0,1935,12
26.108,0,1936,01
25.102,0,1936,02
24.955,0,1936,03
24.647,0,1936,04
25.807,0,1936,05
28.183,0,1936,06
27.386,0,1936,07
27.691,0,1936,08
26.915,0,1936,09
27.048,0,1936,10
27.271,0,1936,11
26.178,0,1936,12
26.89,0,1937,01
25.838,0,1937,02
25.052,0,1937,03
24.853,0,1937,04
26.139,0,1937,05
26.848,0,1937,06
27.349,0,1937,07
27.729,0,1937,08
27.251,0,1937,09
27.335,0,1937,10
26.962,0,1937,11
26.167,0,1937,12
25.171,0,1938,01
24.819,0,1938,02
24.804,0,1938,03
24.36,0,1938,04
26.135,0,1938,05
26.887,0,1938,06
27.108,0,1938,07
27.74,0,1938,08
27.007,0,1938,09
26.67,0,1938,10
27.145,0,1938,11
25.302,0,1938,12
25.188,0,1939,01
24.74,0,1939,02
24.157,0,1939,03
24.447,0,1939,04
25.996,0,1939,05
26.953,0,1939,06
27.404,0,1939,07
27.557,0,1939,08
26.885,0,1939,09
27.328,0,1939,10
26.128,0,1939,11
25.91,0,1939,12
24.688,0,1940,01
24.87,0,1940,02
24.09,0,1940,03
25.177,0,1940,04
26.719,0,1940,05
27.948,0,1940,06
28.259,0,1940,07
28.12,0,1940,08
27.637,0,1940,09
28.128,0,1940,10
27.458,0,1940,11
26.107,0,1940,12
25.357,0,1941,01
25.077,0,1941,02
24.871,0,1941,03
25.817,0,1941,04
26.787,0,1941,05
27.914,0,1941,06
28.018,0,1941,07
28.342,0,1941,08
27.183,0,1941,09
27.392,0,1941,10
27.129,0,1941,11
26.813,0,1941,12
25.333,0,1942,01
25.981,0,1942,02
24.675,0,1942,03
25.112,0,1942,04
27.478,0,1942,05
27.814,0,1942,06
27.926,0,1942,07
27.202,0,1942,08
26.82,0,1942,09
27.36,0,1942,10
27.017,0,1942,11
26.176,0,1942,12
25.436,0,1943,01
24.432,0,1943,02
24.006,0,1943,03
25.061,0,1943,04
26.914,0,1943,05
26.873,0,1943,06
28.233,0,1943,07
27.445,0,1943,08
27.595,0,1943,09
26.873,0,1943,10
26.154,0,1943,11
25.766,0,1943,12
25.162,0,1944,01
25.302,0,1944,02
24.369,0,1944,03
24.795,0,1944,04
26.745,0,1944,05
27.978,0,1944,06
28.277,0,1944,07
27.794,0,1944,08
27.12,0,1944,09
26.315,0,1944,10
27.645,0,1944,11
25.917,0,1944,12
25.683,0,1945,01
25.18,0,1945,02
24.568,0,1945,03
24.87,0,1945,04
26.658,0,1945,05
28.784,0,1945,06
28.47,0,1945,07
27.837,0,1945,08
27.769,0,1945,09
26.699,0,1945,10
26.887,0,1945,11
26.608,0,1945,12
25.358,0,1946,01
25.726,0,1946,02
25.345,0,1946,03
25.316,0,1946,04
27.491,0,1946,05
27.676,0,1946,06
28.178,0,1946,07
27.947,0,1946,08
28.028,0,1946,09
27.258,0,1946,10
27.452,0,1946,11
26.224,0,1946,12
26.13,0,1947,01
25.63,0,1947,02
25.316,0,1947,03
25.421,0,1947,04
26.163,0,1947,05
27.759,0,1947,06
28.295,0,1947,07
27.54,0,1947,08
27.067,0,1947,09
27.682,0,1947,10
27.196,0,1947,11
25.803,0,1947,12
25.181,0,1948,01
26.3,0,1948,02
25.684,0,1948,03
25.254,0,1948,04
27.198,0,1948,05
27.924,0,1948,06
27.878,0,1948,07
28.136,0,1948,08
27.396,0,1948,09
27.486,0,1948,10
28.21,0,1948,11
27.266,0,1948,12
25.587,0,1949,01
25.667,0,1949,02
25.475,0,1949,03
24.599,0,1949,04
27.008,0,1949,05
27.449,0,1949,06
27.962,0,1949,07
28.361,0,1949,08
27.473,0,1949,09
27.563,0,1949,10
25.989,0,1949,11
26.137,0,1949,12
25.87,0,1950,01
25.137,0,1950,02
24.953,0,1950,03
24.797,0,1950,04
26.887,0,1950,05
27.433,0,1950,06
27.149,0,1950,07
28.022,0,1950,08
27.284,0,1950,09
26.514,0,1950,10
26.615,0,1950,11
24.803,0,1950,12
24.746,0,1951,01
24.664,0,1951,02
24.815,0,1951,03
25.422,0,1951,04
26.763,0,1951,05
27.917,0,1951,06
27.729,0,1951,07
28.143,0,1951,08
27.209,0,1951,09
27.918,0,1951,10
28.102,0,1951,11
27.318,0,1951,12
26.594,0,1952,01
25.855,0,1952,02
25.576,0,1952,03
26.156,0,1952,04
26.937,0,1952,05
26.874,0,1952,06
27.691,0,1952,07
27.902,0,1952,08
26.834,0,1952,09
26.159,0,1952,10
27.262,0,1952,11
25.769,0,1952,12
24.577,0,1953,01
25.24,0,1953,02
25.363,0,1953,03
25.573,0,1953,04
26.559,0,1953,05
27.614,0,1953,06
27.835,0,1953,07
28.305,0,1953,08
27.477,0,1953,09
27.18,0,1953,10
26.43,0,1953,11
26.051,0,1953,12
25.8,0,1954,01
25.598,0,1954,02
25.06,0,1954,03
25.255,0,1954,04
26.135,0,1954,05
